Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Stn Press (kPa),SO2,NO,NO2,NOx,CO,O3,PM25
-11.7,-17.5,63.0,20.0,7.0,102.24,0,8,27,35,0.32,10,7
-13.0,-17.5,69.0,17.0,5.0,102.17,0,8,29,37,0.34,8,8
-12.5,-16.4,73.0,17.0,6.0,102.14,0,4,24,28,0.28,11,8
-13.7,-15.7,85.0,16.0,2.0,102.16,0,4,25,29,0.28,9,9
-15.3,-16.4,92.0,,0.0,102.14,0,7,28,35,0.29,7,10
-16.2,-18.1,86.0,18.0,5.0,102.09,0,20,34,53,0.36,3,11
-16.7,-18.4,87.0,36.0,3.0,102.04,0,40,37,77,0.44,2,13
-16.0,-17.5,88.0,0.0,1.0,101.97,0,31,36,67,0.37,2,13
-15.9,-17.2,89.0,8.0,2.0,101.92,0,52,37,90,0.48,1,13
-16.4,-17.8,89.0,18.0,5.0,101.93,0,33,36,69,0.48,1,12
-14.0,-15.3,91.0,18.0,10.0,101.93,0,23,34,57,0.31,2,11
-13.0,-14.1,91.0,20.0,11.0,101.9,0,39,37,76,0.38,1,13
-11.9,-12.7,94.0,21.0,10.0,101.9,0,45,37,82,0.43,1,15
-12.3,-13.7,89.0,22.0,9.0,101.91,0,16,32,48,0.3,4,9
-9.1,-10.2,92.0,21.0,14.0,101.91,0,7,28,35,0.3,6,9
-10.8,-11.7,93.0,19.0,11.0,101.9,0,12,28,39,0.36,7,11
-7.2,-7.8,96.0,21.0,17.0,101.88,0,14,24,39,0.37,10,11
-6.2,-6.9,95.0,20.0,21.0,101.88,1,9,16,25,0.28,18,11
-3.3,-7.2,74.0,22.0,16.0,101.84,1,7,12,19,0.24,21,11
-1.8,-7.0,68.0,24.0,16.0,101.74,1,4,8,11,0.22,26,11
-1.4,-6.7,67.0,27.0,12.0,101.64,1,3,7,10,0.22,27,10
0.0,-6.5,62.0,27.0,4.0,101.55,1,4,12,15,0.23,24,10
0.8,-8.1,51.0,22.0,10.0,101.51,0,4,15,19,0.25,23,9
0.3,-8.4,52.0,24.0,8.0,101.5,0,1,20,21,0.27,18,8
-4.3,-8.8,70.0,22.0,4.0,101.47,0,9,35,44,0.5,4,11
-6.8,-10.0,78.0,24.0,3.0,101.5,0,14,35,49,0.48,3,15
-7.0,-8.6,88.0,0.0,1.0,101.52,0,23,35,58,0.6,2,19
-6.8,-10.1,78.0,23.0,7.0,101.57,0,43,36,79,0.82,2,24
-3.6,-7.3,75.0,23.0,11.0,101.59,0,33,34,67,0.72,2,22
-3.1,-6.5,77.0,23.0,9.0,101.58,0,17,31,49,0.56,3,18
-6.2,-8.4,84.0,0.0,1.0,101.58,1,28,35,63,0.48,2,15
-5.7,-7.3,89.0,18.0,7.0,101.6,1,41,35,76,0.55,2,16
-8.0,-8.4,97.0,20.0,5.0,101.6,1,5,25,30,0.31,5,12
-7.7,-8.2,96.0,26.0,3.0,101.59,1,2,22,24,0.26,8,11
-8.6,-9.3,94.0,26.0,5.0,101.57,1,40,30,70,0.43,5,13
-7.8,-8.5,95.0,18.0,5.0,101.56,1,92,38,130,0.53,1,15
-7.3,-7.9,96.0,18.0,9.0,101.56,1,93,37,129,0.53,1,15
-7.4,-8.0,96.0,18.0,5.0,101.56,0,85,34,119,0.62,1,18
-8.6,-9.3,95.0,18.0,3.0,101.57,0,35,27,61,0.53,1,22
-8.8,-9.6,94.0,17.0,3.0,101.57,0,53,28,81,0.67,2,23
-7.0,-7.4,96.0,12.0,4.0,101.55,0,65,30,95,0.79,3,25
-6.5,-7.0,96.0,20.0,3.0,101.64,1,95,35,130,0.93,3,27
-4.6,-5.0,97.0,0.0,1.0,101.58,0,63,30,93,0.64,5,28
-4.0,-4.4,97.0,0.0,1.0,101.52,1,54,31,85,0.72,6,28
-1.6,-5.5,75.0,,0.0,101.49,1,40,31,71,0.57,6,28
-1.5,-5.0,77.0,14.0,7.0,101.41,1,15,22,37,0.39,11,23
-0.9,-5.0,74.0,34.0,2.0,101.42,0,12,24,37,0.39,6,30
-1.6,-5.0,77.0,35.0,4.0,101.43,0,7,26,33,0.36,4,28
-2.7,-4.9,85.0,6.0,7.0,101.47,0,6,27,33,0.39,3,27
-3.3,-5.3,86.0,3.0,5.0,101.5,0,4,27,31,0.39,3,29
-4.0,-5.5,90.0,5.0,5.0,101.5,0,11,29,40,0.47,2,30
-4.9,-6.4,89.0,6.0,6.0,101.46,0,16,31,47,0.47,2,29
-6.2,-7.0,94.0,3.0,5.0,101.49,0,18,30,48,0.49,2,32
-5.3,-6.3,93.0,5.0,5.0,101.5,0,12,29,41,0.45,2,31
-4.1,-5.7,88.0,1.0,5.0,101.48,0,11,26,36,0.41,3,32
-6.7,-7.4,94.0,32.0,6.0,101.48,0,16,28,44,0.47,2,33
-6.5,-7.0,96.0,6.0,7.0,101.43,0,22,28,50,0.44,1,30
-7.5,-8.0,96.0,6.0,5.0,101.35,0,18,26,43,0.47,2,31
-7.5,-8.1,96.0,7.0,4.0,101.4,0,33,26,59,0.58,2,34
-8.6,-9.2,95.0,6.0,5.0,101.4,0,21,25,46,0.5,2,32
-9.2,-10.0,94.0,6.0,5.0,101.38,0,36,27,64,0.48,1,29
-9.6,-10.3,95.0,5.0,6.0,101.38,0,42,27,69,0.53,1,27
-7.9,-8.6,95.0,6.0,9.0,101.38,0,28,25,53,0.53,1,26
-7.3,-7.9,95.0,5.0,9.0,101.4,0,19,22,42,0.46,4,27
-6.9,-7.5,96.0,6.0,11.0,101.36,2,17,20,37,0.44,9,29
-5.3,-5.8,96.0,9.0,10.0,101.41,2,7,14,22,0.41,15,28
-4.4,-5.8,90.0,7.0,11.0,101.39,2,7,14,21,0.38,16,28
-3.0,-5.2,85.0,6.0,11.0,101.24,1,5,12,18,0.35,20,28
-2.6,-5.3,82.0,7.0,13.0,101.14,1,3,12,16,0.33,22,26
-2.0,-5.2,79.0,7.0,14.0,101.08,1,3,13,16,0.31,21,27
-1.9,-5.2,78.0,6.0,14.0,101.05,1,3,15,18,0.34,19,28
-2.0,-5.2,79.0,6.0,16.0,101.04,1,2,18,20,0.36,16,29
-2.4,-5.3,81.0,7.0,14.0,101.05,0,1,18,19,0.34,16,29
-2.8,-5.7,81.0,7.0,16.0,100.99,0,1,19,20,0.35,15,27
-2.9,-5.8,80.0,7.0,14.0,100.98,0,1,18,19,0.34,17,24
-3.2,-6.1,81.0,7.0,12.0,100.96,0,1,16,16,0.32,19,22
-3.2,-6.1,81.0,7.0,12.0,100.94,0,1,16,16,0.32,19,20
-3.3,-6.2,80.0,7.0,10.0,100.92,0,1,16,17,0.34,18,19
-3.0,-6.0,80.0,8.0,12.0,100.86,0,1,15,16,0.33,19,18
-2.5,-5.5,80.0,8.0,13.0,100.79,0,1,16,16,0.33,18,17
-1.9,-5.0,79.0,8.0,12.0,100.73,0,1,14,14,0.32,19,16
-1.5,-4.6,80.0,8.0,11.0,100.72,0,1,12,13,0.3,20,17
-1.6,-2.4,94.0,7.0,13.0,100.68,0,1,12,13,0.3,21,16
-1.2,-1.9,95.0,8.0,13.0,100.61,0,0,11,11,0.28,22,15
-0.3,-0.9,96.0,8.0,12.0,100.58,0,0,10,11,0.27,22,15
-0.2,-0.7,97.0,7.0,12.0,100.55,0,1,11,12,0.29,20,15
0.2,-0.5,96.0,8.0,11.0,100.53,0,1,11,12,0.29,20,14
0.3,-0.4,95.0,7.0,11.0,100.53,0,1,14,15,0.3,18,12
0.9,-0.2,93.0,9.0,10.0,100.57,0,2,16,18,0.32,17,10
1.0,0.3,95.0,8.0,10.0,100.61,0,3,17,20,0.34,16,10
1.2,0.6,96.0,7.0,9.0,100.54,0,3,14,17,0.32,18,10
1.3,0.8,96.0,7.0,8.0,100.48,0,3,16,19,0.34,17,10
1.6,1.2,97.0,8.0,7.0,100.45,0,4,18,22,0.36,14,9
2.7,2.3,97.0,13.0,6.0,100.43,0,4,21,26,0.41,11,10
3.5,2.8,96.0,16.0,9.0,100.42,0,3,21,24,0.38,11,10
3.6,2.6,93.0,15.0,8.0,100.47,0,3,24,27,0.4,8,12
3.7,2.6,93.0,16.0,8.0,100.5,0,8,26,34,0.43,7,11
3.9,2.6,91.0,13.0,5.0,100.51,0,4,23,27,0.41,8,13
3.4,2.3,92.0,11.0,5.0,100.54,0,2,18,20,0.33,11,14
3.1,2.2,94.0,5.0,5.0,100.57,0,1,18,19,0.38,11,15
2.1,1.7,97.0,6.0,8.0,100.57,0,1,18,19,0.34,10,15
1.9,1.6,98.0,6.0,9.0,100.55,0,1,17,18,0.33,10,15
1.9,1.7,99.0,6.0,8.0,100.5,0,0,15,16,0.28,13,13
1.8,1.6,99.0,6.0,8.0,100.46,0,1,15,16,0.29,13,12
1.8,1.6,99.0,6.0,7.0,100.37,0,1,14,14,0.28,13,10
2.4,2.1,98.0,7.0,11.0,100.25,0,0,11,11,0.26,17,10
2.3,2.0,97.0,7.0,14.0,100.15,0,0,8,9,0.25,19,9
1.9,1.4,97.0,7.0,12.0,100.14,0,0,7,7,0.23,21,8
2.0,1.6,97.0,6.0,13.0,100.0,0,0,7,7,0.24,22,8
1.8,1.3,97.0,6.0,15.0,99.86,0,0,6,6,0.23,24,7
2.0,1.2,95.0,7.0,21.0,99.74,0,0,5,5,0.21,27,6
2.2,1.1,93.0,8.0,23.0,99.64,0,0,5,5,0.21,28,6
2.2,1.2,93.0,7.0,22.0,99.48,0,1,5,6,0.21,28,5
2.1,1.4,95.0,7.0,20.0,99.31,0,1,5,6,0.21,30,5
2.4,1.9,96.0,7.0,24.0,98.98,0,0,4,5,0.18,33,3
2.6,2.2,97.0,7.0,29.0,98.49,0,1,4,5,0.19,34,3
3.0,2.3,95.0,8.0,33.0,98.17,0,1,4,5,0.19,33,3
2.9,2.4,97.0,8.0,24.0,97.96,0,1,5,6,0.2,32,3
3.2,2.7,97.0,8.0,22.0,97.76,0,1,6,7,0.21,32,3
3.4,3.0,97.0,8.0,18.0,97.59,0,1,7,8,0.21,30,2
4.1,3.7,97.0,11.0,13.0,97.57,0,1,12,13,0.25,25,3
3.8,3.5,98.0,12.0,10.0,97.49,0,2,13,15,0.25,23,3
5.7,5.0,95.0,17.0,16.0,97.42,0,1,10,11,0.23,27,2
5.5,4.2,92.0,18.0,22.0,97.41,0,1,8,8,0.21,26,2
3.1,0.3,82.0,21.0,46.0,97.55,0,1,5,6,0.17,23,4
-0.9,-2.6,88.0,22.0,32.0,97.86,1,0,4,5,0.16,25,5
-1.7,-5.9,73.0,24.0,34.0,98.17,1,0,3,3,0.15,27,5
-3.8,-9.3,65.0,25.0,41.0,98.46,1,0,2,3,0.15,28,5
-5.5,-11.4,63.0,25.0,37.0,98.66,1,0,2,2,0.14,28,5
-6.3,-10.4,73.0,27.0,29.0,98.83,0,0,2,2,0.14,29,4
-6.8,-11.8,67.0,26.0,28.0,98.98,9999,9999,9999,9999,9999.0,9999,4
-8.6,-12.7,72.0,28.0,21.0,99.08,1,0,3,3,0.14,30,4
-9.6,-13.4,74.0,28.0,19.0,99.2,1,0,3,3,0.14,30,3
-10.1,-14.4,71.0,28.0,21.0,99.32,1,1,4,4,0.15,30,3
-11.0,-14.8,73.0,28.0,15.0,99.43,1,1,5,6,0.16,29,3
-12.0,-16.5,69.0,29.0,20.0,99.55,2,1,5,7,0.17,30,3
-11.9,-16.8,67.0,28.0,20.0,99.64,1,1,4,5,0.15,32,2
-11.5,-16.6,66.0,28.0,23.0,99.75,1,1,3,4,0.15,34,2
-11.3,-16.6,64.0,28.0,25.0,99.82,1,1,2,4,0.14,35,2
-10.9,-16.9,61.0,29.0,25.0,99.86,1,1,3,4,0.15,35,2
-10.5,-17.0,59.0,28.0,24.0,99.91,1,1,3,4,0.15,36,2
-9.9,-17.0,56.0,27.0,25.0,100.0,2,1,3,5,0.16,36,2
-9.4,-17.4,52.0,29.0,22.0,100.08,1,1,4,5,0.17,36,2
-9.2,-18.2,48.0,29.0,23.0,100.15,0,1,5,6,0.18,36,2
-9.6,-17.6,52.0,29.0,13.0,100.25,0,1,7,7,0.17,34,2
-10.4,-16.4,61.0,29.0,10.0,100.34,0,1,8,9,0.19,33,2
-10.7,-16.9,60.0,28.0,9.0,100.42,0,0,9,10,0.2,31,3
-11.4,-16.3,67.0,23.0,6.0,100.47,0,0,9,9,0.19,32,3
-11.8,-16.4,69.0,23.0,6.0,100.49,0,0,9,9,0.19,31,2
-13.3,-16.7,76.0,25.0,6.0,100.51,0,0,11,11,0.22,28,3
-13.4,-17.0,75.0,21.0,6.0,100.51,0,3,23,26,0.31,15,5
-15.0,-17.0,85.0,19.0,6.0,100.48,0,7,32,39,0.39,6,7
-15.0,-17.0,84.0,17.0,5.0,100.47,0,84,46,130,0.65,1,8
-15.2,-16.9,87.0,16.0,6.0,100.46,0,29,38,67,0.49,2,7
-13.6,-15.7,84.0,8.0,3.0,100.46,0,12,34,46,0.35,3,6
-13.5,-15.4,86.0,4.0,7.0,100.38,0,3,28,31,0.27,7,6
-13.5,-15.5,85.0,6.0,8.0,100.3,0,2,25,27,0.27,9,7
-12.9,-15.0,84.0,6.0,11.0,100.17,0,1,19,20,0.27,15,6
-12.8,-14.8,85.0,7.0,13.0,100.1,0,1,17,18,0.3,16,5
-12.2,-14.0,86.0,6.0,11.0,99.98,0,2,15,17,0.33,19,5
-11.1,-13.0,86.0,8.0,12.0,99.91,0,3,12,15,0.28,20,5
-9.9,-11.5,88.0,8.0,16.0,99.8,0,3,10,13,0.26,23,5
-9.0,-10.3,90.0,8.0,14.0,99.66,0,3,9,11,0.24,24,6
-8.5,-9.7,91.0,6.0,16.0,99.5,0,3,9,12,0.25,25,6
-8.2,-9.6,90.0,9.0,17.0,99.31,0,3,11,15,0.26,23,6
-7.8,-9.2,90.0,7.0,18.0,99.18,0,3,13,16,0.27,22,6
-7.0,-8.5,89.0,7.0,20.0,99.09,0,2,13,15,0.27,22,7
-7.1,-8.4,90.0,7.0,20.0,99.01,0,2,13,14,0.26,22,8
-7.0,-8.3,90.0,7.0,21.0,98.95,0,1,11,12,0.24,23,9
-6.8,-7.9,92.0,8.0,23.0,98.88,0,1,11,12,0.24,22,9
-5.9,-6.8,93.0,7.0,13.0,98.83,0,1,12,13,0.24,21,9
-3.7,-5.2,89.0,13.0,11.0,98.79,0,2,12,14,0.23,21,8
-4.9,-6.4,89.0,21.0,35.0,98.77,0,1,9,10,0.2,23,8
-5.4,-6.2,94.0,24.0,20.0,98.87,0,1,7,8,0.21,23,8
-6.4,-7.6,91.0,25.0,20.0,98.94,0,1,7,8,0.2,23,7
-7.0,-9.0,86.0,25.0,23.0,98.99,0,0,5,6,0.18,25,5
-7.8,-10.1,84.0,27.0,29.0,99.07,0,0,4,4,0.16,26,4
-9.0,-11.5,82.0,27.0,29.0,99.2,0,1,3,4,0.16,30,4
-9.9,-12.3,83.0,27.0,28.0,99.37,0,0,3,3,0.14,32,4
-10.9,-13.5,81.0,27.0,28.0,99.47,0,0,3,3,0.14,33,3
-11.8,-14.8,78.0,28.0,26.0,99.61,0,1,3,4,0.14,33,3
-12.7,-15.5,80.0,28.0,23.0,99.74,0,1,5,6,0.16,31,3
-13.4,-16.4,78.0,28.0,20.0,99.87,0,1,6,7,0.18,31,3
-14.2,-17.1,79.0,28.0,19.0,99.97,0,2,6,8,0.18,31,2
-14.3,-17.4,77.0,28.0,23.0,100.08,0,2,5,7,0.16,33,2
-14.1,-17.6,75.0,27.0,25.0,100.18,0,1,3,4,0.16,34,2
-13.7,-17.6,72.0,28.0,25.0,100.26,0,2,3,4,0.15,34,2
-13.4,-17.9,69.0,27.0,28.0,100.27,0,2,3,5,0.16,33,2
-12.8,-17.6,67.0,27.0,22.0,100.21,0,2,3,5,0.16,34,2
-11.9,-17.5,63.0,26.0,21.0,100.2,0,2,4,5,0.16,35,2
-11.5,-18.0,59.0,27.0,21.0,100.2,0,1,5,6,0.19,34,2
-11.6,-18.0,59.0,29.0,16.0,100.24,0,1,7,8,0.2,33,2
-12.6,-18.1,63.0,28.0,9.0,100.25,0,1,11,12,0.21,29,2
-12.9,-18.5,63.0,27.0,7.0,100.26,0,0,16,16,0.23,23,2
-16.0,-19.6,74.0,26.0,2.0,100.24,0,2,26,28,0.3,14,3
-17.3,-19.3,84.0,19.0,4.0,100.22,0,10,36,45,0.47,5,5
-17.6,-19.1,88.0,17.0,4.0,100.16,0,10,35,45,0.6,4,13
-17.0,-18.3,89.0,17.0,6.0,100.11,0,31,37,68,0.67,4,16
-14.7,-16.9,83.0,15.0,3.0,100.08,0,59,43,102,0.73,3,14
-14.5,-16.5,85.0,0.0,1.0,100.02,0,30,39,69,0.63,2,15
-13.9,-15.9,85.0,5.0,2.0,99.95,0,12,36,48,0.41,2,9
-14.5,-16.1,88.0,8.0,5.0,99.86,0,2,24,26,0.29,11,7
-14.7,-16.4,87.0,6.0,8.0,99.84,0,2,28,30,0.27,8,6
-14.2,-15.7,88.0,5.0,7.0,99.79,0,2,22,24,0.25,13,7
-14.0,-15.5,89.0,7.0,6.0,99.78,0,1,20,22,0.25,14,7
-13.6,-15.0,89.0,7.0,7.0,99.8,0,1,15,16,0.25,19,7
-13.2,-14.7,89.0,6.0,7.0,99.81,0,1,18,19,0.28,17,6
-13.0,-14.4,90.0,5.0,5.0,99.8,0,3,17,20,0.31,18,6
-12.5,-14.0,88.0,7.0,7.0,99.82,0,3,11,14,0.26,22,6
-11.7,-13.4,87.0,4.0,5.0,99.91,0,4,11,15,0.24,23,6
-10.1,-12.0,86.0,8.0,3.0,99.92,0,9,15,24,0.3,20,6
-9.5,-12.0,82.0,0.0,1.0,99.86,0,12,16,28,0.3,21,7
-6.4,-11.2,69.0,,0.0,99.88,0,13,18,32,0.3,20,8
-6.1,-10.1,73.0,26.0,13.0,99.89,0,6,13,19,0.27,24,8
-6.6,-10.5,74.0,27.0,8.0,99.93,0,3,12,14,0.24,25,7
-6.3,-10.3,73.0,27.0,7.0,100.04,0,1,17,18,0.29,20,9
-8.2,-10.9,81.0,26.0,2.0,100.1,0,1,16,17,0.27,20,9
-7.0,-11.3,71.0,25.0,4.0,100.2,0,1,17,17,0.27,19,9
-7.8,-11.3,75.0,30.0,4.0,100.24,0,0,19,19,0.29,17,9
