Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Stn Press (kPa),SO2,NO,NO2,NOx,CO,O3,PM25
-2.2,-3.6,91.0,27.0,8.0,100.47,0,1,9,10,0.24,17,11
-2.3,-3.8,89.0,26.0,8.0,100.44,0,0,7,7,0.21,19,9
-2.8,-4.0,92.0,26.0,6.0,100.42,0,0,8,8,0.21,19,8
-3.0,-3.8,95.0,26.0,5.0,100.41,0,0,8,8,0.2,19,7
-3.3,-3.8,96.0,23.0,3.0,100.34,0,0,12,12,0.2,16,6
-3.2,-3.6,97.0,20.0,7.0,100.3,0,2,21,23,0.24,9,7
-3.1,-3.6,96.0,19.0,10.0,100.22,0,1,16,17,0.22,17,5
-3.1,-3.4,98.0,20.0,8.0,100.2,0,1,16,17,0.22,17,7
-2.1,-3.4,91.0,21.0,12.0,100.16,0,2,11,13,0.2,22,8
-1.2,-2.9,88.0,22.0,12.0,100.16,0,2,9,11,0.19,24,8
-0.7,-2.7,87.0,22.0,13.0,100.17,0,1,6,7,0.19,28,8
-0.5,-2.3,87.0,23.0,21.0,100.14,0,1,6,8,0.19,29,7
-0.3,-2.3,86.0,23.0,20.0,100.05,0,1,6,7,0.19,32,5
-0.3,-2.8,83.0,23.0,21.0,100.0,0,1,5,6,0.18,34,5
-0.4,-2.9,83.0,24.0,16.0,99.96,0,0,5,5,0.18,34,6
-0.7,-3.3,82.0,24.0,16.0,99.94,0,0,5,6,0.19,33,5
-0.9,-3.4,83.0,24.0,18.0,99.97,0,0,6,6,0.19,32,6
-1.0,-3.9,81.0,24.0,15.0,100.01,0,0,5,6,0.17,33,6
-2.0,-3.2,92.0,26.0,13.0,100.08,0,0,5,5,0.17,34,5
-1.6,-4.4,81.0,25.0,16.0,100.11,0,0,5,5,0.18,34,5
-1.6,-4.8,79.0,25.0,22.0,100.13,0,0,5,5,0.17,33,5
-1.9,-5.1,79.0,25.0,17.0,100.15,0,0,5,5,0.18,32,5
-2.2,-4.7,83.0,25.0,12.0,100.17,0,0,5,5,0.17,31,5
-2.6,-4.6,86.0,24.0,14.0,100.21,0,0,6,6,0.16,30,5
-2.4,-5.2,81.0,25.0,18.0,100.25,0,0,4,5,0.17,31,5
-2.7,-5.7,79.0,26.0,18.0,100.26,0,0,3,3,0.15,30,5
-3.3,-6.3,80.0,27.0,15.0,100.25,0,0,4,4,0.15,31,5
-3.9,-6.6,81.0,25.0,8.0,100.26,1,0,7,7,0.16,27,5
-5.6,-8.1,82.0,25.0,8.0,100.21,1,0,7,7,0.15,27,4
-5.8,-7.8,86.0,25.0,10.0,100.25,0,0,7,7,0.15,27,4
-4.2,-6.6,83.0,23.0,7.0,100.22,0,0,10,10,0.16,23,4
-3.2,-4.9,88.0,24.0,7.0,100.21,0,0,10,11,0.18,22,5
-2.5,-4.7,85.0,22.0,11.0,100.19,0,1,8,9,0.17,24,8
-1.7,-4.8,79.0,23.0,17.0,100.21,0,1,6,8,0.17,27,9
-2.0,-5.0,80.0,22.0,22.0,100.23,0,2,7,9,0.19,27,9
-1.6,-5.1,77.0,22.0,21.0,100.11,0,2,8,9,0.18,28,9
-1.8,-4.6,81.0,22.0,26.0,100.0,0,1,6,7,0.2,29,8
-1.5,-4.3,81.0,22.0,23.0,99.93,0,1,6,8,0.18,28,10
-1.1,-3.8,82.0,22.0,24.0,99.88,0,1,8,9,0.19,26,11
-0.7,-3.5,82.0,22.0,23.0,99.84,0,1,9,10,0.2,25,11
-0.7,-3.3,83.0,22.0,23.0,99.82,0,1,10,11,0.21,24,11
-0.6,-3.1,83.0,22.0,25.0,99.87,0,1,10,11,0.2,24,13
-0.6,-3.2,83.0,22.0,25.0,99.83,0,1,10,10,0.21,25,12
-0.6,-3.2,83.0,22.0,26.0,99.83,0,1,10,11,0.21,25,12
-0.5,-3.4,81.0,21.0,25.0,99.79,0,1,9,10,0.21,26,12
-0.8,-3.4,82.0,21.0,21.0,99.73,0,0,8,9,0.2,27,11
-0.6,-3.8,79.0,21.0,24.0,99.65,0,0,9,9,0.19,27,11
-1.2,-3.1,87.0,22.0,16.0,99.61,0,0,11,12,0.2,25,11
-1.2,-3.4,85.0,22.0,6.0,99.52,0,0,10,11,0.2,25,12
-0.6,-4.1,77.0,22.0,16.0,99.46,0,0,8,9,0.19,25,12
-0.8,-4.1,79.0,21.0,13.0,99.38,0,1,11,11,0.2,23,12
-1.2,-3.7,83.0,20.0,11.0,99.37,0,1,12,13,0.21,20,12
-1.1,-3.2,86.0,20.0,12.0,99.26,0,1,11,12,0.2,20,12
-1.2,-3.0,87.0,19.0,8.0,99.2,0,1,13,13,0.2,19,12
-1.1,-2.0,94.0,21.0,12.0,99.18,0,1,13,14,0.22,18,12
-1.0,-1.3,97.0,22.0,9.0,99.21,0,0,11,11,0.21,20,11
-1.0,-1.4,97.0,24.0,5.0,99.26,0,1,8,8,0.2,22,11
-0.9,-1.4,97.0,23.0,8.0,99.3,0,2,9,10,0.21,21,11
-0.7,-1.3,96.0,24.0,11.0,99.35,0,2,7,9,0.22,22,12
-0.4,-1.5,93.0,29.0,15.0,99.38,0,1,5,6,0.21,25,9
-0.6,-2.7,86.0,31.0,19.0,99.42,0,1,3,4,0.2,24,4
-2.9,-5.6,81.0,33.0,28.0,99.55,0,1,2,3,0.15,27,3
-4.2,-7.6,77.0,33.0,25.0,99.72,0,1,2,3,0.15,28,3
-5.4,-9.1,75.0,32.0,25.0,99.86,0,1,2,3,0.15,30,3
-6.8,-10.8,73.0,33.0,26.0,100.08,0,3,4,7,0.15,30,4
-8.2,-12.4,72.0,32.0,27.0,100.27,0,2,3,6,0.16,30,4
-9.4,-13.4,73.0,32.0,27.0,100.39,0,1,2,3,0.16,30,4
-10.6,-14.7,72.0,32.0,28.0,100.52,0,1,3,4,0.15,30,4
-11.7,-15.8,72.0,32.0,24.0,100.63,0,1,2,3,0.15,32,4
-12.9,-17.2,70.0,34.0,18.0,100.71,0,1,2,3,0.15,33,4
-13.8,-18.4,68.0,32.0,22.0,100.82,0,1,2,3,0.16,32,4
-14.9,-18.9,72.0,32.0,18.0,100.92,0,1,3,4,0.16,30,4
-15.4,-18.9,75.0,32.0,18.0,101.03,0,1,4,4,0.16,28,5
-16.4,-20.0,74.0,32.0,19.0,101.07,0,2,3,5,0.15,25,6
-17.1,-21.7,68.0,36.0,18.0,101.15,0,1,3,4,0.15,25,7
-17.7,-22.1,68.0,34.0,22.0,101.2,9999,9999,9999,9999,9999.0,9999,7
-18.1,-22.3,69.0,34.0,24.0,101.22,0,1,4,5,0.15,24,7
-18.8,-21.9,77.0,33.0,15.0,101.29,0,1,4,5,0.15,24,7
-19.5,-22.6,76.0,31.0,14.0,101.42,0,1,5,6,0.18,23,7
-19.6,-22.7,76.0,33.0,12.0,101.53,0,2,7,8,0.2,22,7
-19.9,-22.8,78.0,33.0,12.0,101.66,0,2,6,9,0.22,22,7
-19.1,-22.5,75.0,32.0,14.0,101.77,0,3,5,8,0.19,25,6
-17.4,-22.7,63.0,35.0,17.0,101.85,0,4,3,7,0.15,27,5
-16.6,-21.7,65.0,34.0,17.0,101.92,0,3,3,6,0.15,28,4
-16.3,-21.2,66.0,32.0,15.0,101.92,0,3,3,6,0.15,29,4
,,,,,,0,3,3,6,0.16,28,4
,,,,,,0,2,3,6,0.16,28,4
,,,,,,0,3,4,7,0.17,26,4
-15.0,-19.8,67.0,32.0,22.0,102.15,0,1,4,5,0.17,27,6
-14.8,-19.6,67.0,33.0,14.0,102.21,0,1,4,6,0.18,27,6
-15.1,-20.0,67.0,33.0,15.0,102.31,0,1,5,6,0.17,27,6
-16.6,-20.6,71.0,30.0,10.0,102.35,0,1,6,8,0.19,25,7
-16.6,-20.1,74.0,31.0,11.0,102.41,0,1,8,10,0.19,23,7
-17.3,-20.5,76.0,31.0,9.0,102.5,0,1,8,9,0.19,23,6
-17.7,-21.0,76.0,32.0,9.0,102.54,0,1,8,9,0.18,23,5
-17.5,-21.0,74.0,31.0,8.0,102.59,0,1,5,6,0.15,26,5
-17.5,-20.6,77.0,32.0,7.0,102.58,0,1,7,9,0.16,25,4
-17.5,-20.5,78.0,29.0,11.0,102.6,0,2,9,10,0.16,23,4
-19.4,-21.2,86.0,28.0,9.0,102.62,0,3,13,16,0.18,19,5
-19.6,-21.4,86.0,31.0,8.0,102.64,0,1,12,13,0.21,18,6
-21.4,-22.9,87.0,21.0,8.0,102.66,0,1,13,14,0.2,17,6
-21.2,-22.8,86.0,26.0,5.0,102.74,0,2,18,20,0.2,13,5
-20.0,-21.6,87.0,25.0,8.0,102.74,0,1,12,13,0.19,19,5
-20.5,-22.4,85.0,24.0,6.0,102.75,0,1,11,12,0.22,20,5
-21.5,-23.3,85.0,25.0,4.0,102.83,0,2,11,13,0.22,20,5
,,,,,,0,4,8,11,0.22,23,5
-17.7,-19.2,88.0,18.0,7.0,102.79,0,11,13,25,0.26,20,4
-16.6,-18.4,85.0,20.0,10.0,102.77,0,11,12,23,0.24,22,4
-14.8,-18.8,71.0,20.0,19.0,102.69,0,5,7,13,0.2,25,5
-12.8,-17.8,66.0,19.0,12.0,102.59,0,4,7,12,0.2,27,4
-11.1,-17.0,61.0,20.0,17.0,102.51,0,4,8,11,0.19,27,5
-10.5,-16.4,62.0,20.0,15.0,102.42,0,4,12,16,0.23,23,4
-9.6,-17.3,53.0,21.0,18.0,102.34,0,4,16,19,0.25,20,5
